index,reason,prediction,label
15,"The text criticizes liberals for supporting bodily autonomy in abortion but not in vaccine mandates, asserting that it should be 'your body, your choice' for vaccines. This expresses a clear preference for individual autonomy over collective public health obligations, indicating Individual Right (I12=3) and an Individualist cultural value (I7=3). Although abortion is mentioned, the speaker does not take an explicit position on abortion, sexual norms, or related ethical issues, so Ethical Pursuit (I5) is not directly expressed. There is no content about economic systems (I1, I3), state structure (I2), economic equality (I4), church-state relations (I6), foreign policy (I8), militarism (I9), methods of social change (I10), or justice orientation (I11).","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
16,"The text focuses on abortion policy, praising a ban on late-term abortion and attacking Democrats as extreme on abortion. This reflects a stance favoring moral restrictions on abortion within mainstream culture, aligning with Ethical Conservatism (I5 Right). While it claims a general pro-choice identity, the endorsement of restrictions and moral framing place it on the conservative side of the ethical spectrum for this dimension. No clear positions are expressed on political regime (I1), state structure (I2), economic orientation (I3), economic equality (I4), church–state relations (I6), cultural value individualism vs collectivism (I7), diplomatic strategy (I8), military force (I9), pace of social change (I10), justice orientation (I11), or personal rights vs responsibilities (I12).","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
17,"The text is a strategic call for persistent, wide-ranging activism: ""contest every level all the time"" and build a ""community"" to sustain ""continuous struggle."" This clearly aligns with Revolutionism (I10), favoring direct, continuous action rather than gradual change. The emphasis on drawing people into a community and collective struggle signals Collectivism (I7). Other dimensions (I1, I2, I3, I4, I5, I6, I8, I9, I11, I12) are not substantively addressed. Although it references the anti-abortion movement, it does so as a tactical example, not as an endorsement of ethical conservatism, so I5 remains unrelated.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
18,"The text challenges the idea of gender self-identification by implying it could threaten women's rights/status and urges the government to engage with the issue. This places it in the ethical/moral-cultural domain rather than economic or constitutional domains. It expresses skepticism toward self-ID (a stance more aligned with ethical conservatism in this context) and prioritizes the protection of women's collective interests over individual self-identification, indicating collectivist leanings and an emphasis on social responsibility over individual rights. There is no clear stance on political regime, state structure, economic systems or equality, church-state relations, foreign policy, militarism, social change strategy, or specific justice procedures.","[0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]"
19,"The text is a neutral, informational question about the implementation difficulties of the 2015 Minsk peace deal in the Donbas. It does not express normative positions or value judgments relevant to the listed ideological dimensions. There are no statements about economic systems (I1–I4), social/ethical norms (I5–I7), foreign policy orientation (I8), stance on military force (I9), pathways of social change (I10), theories of justice (I11), or emphasis on rights vs responsibilities (I12). Mentioning international actors and a peace deal is descriptive without advocating globalism, isolationism, militarism, pacifism, or any other ideological stance. Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
20,"The text urges local advocacy to increase immigrant children's access to healthcare and safety-net programs (insurance, SNAP, WIC) and to address fears around the public charge rule. This centers on equal access (I4: emphasizes opportunity equality), promotes community responsibility for vulnerable groups (I7: collectivist), and seeks incremental, local policy/advocacy changes rather than radical overhaul (I10: reformism). It also prioritizes ensuring fair treatment and distribution of services to a marginalized group (I11: result-oriented justice) and invokes a sense of civic duty to help (I12: social responsibility). It does not address ownership of production (I1), state structure (I2), macroeconomic decision-making (I3), moral/cultural issues like sexuality or abortion (I5), church-state relations (I6), foreign policy (I8), or military force (I9).","[0, 0, 0, 3, 0, 0, 1, 0, 0, 3, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"The text praises support for legislation defending a woman's right to choose, which clearly aligns with Ethical Liberalism (support for abortion rights) under I5. Framing it as a 'right to choose' emphasizes protecting individual autonomy, aligning with Individual Right (I12). The support is for legislative action, indicating a preference for institutional, reformist change rather than revolutionary means, aligning with Reformism (I10). The emphasis on personal choice also reflects Individualism in cultural values (I7). Other dimensions (I1, I2, I3, I4, I6, I8, I9, I11) are not addressed in the text.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 3, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
22,"The text is a brief news headline reporting fuel price increases with specific amounts and a date. It contains no evaluative or prescriptive statements about political, economic, social, cultural, or ethical issues. Therefore, it does not express a stance on any of the listed ideological dimensions (I1–I12), including political regime, state structure, economic orientation, equality, ethics, church–state relations, cultural values, diplomacy, military use, social change strategy, justice orientation, or personal rights.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"The text positively references the Inflation Reduction Act and highlights “new spending on environmental data collection” to guide federal spending on environmental issues. This implies support for government-led planning and investment in a specific policy area, touching the Economic Orientation dimension (I3), but it does not advocate a broader state-directed economy, so it is best categorized as related but centered. The change described is via standard legislative spending within existing institutions, aligning with Reformism (I10). Other dimensions—such as ownership of means of production (I1), centralism vs federalism (I2), equality (I4), social ethics (I5), church-state relations (I6), cultural values (I7), foreign policy (I8), military force (I9), justice orientation (I11), and personal rights vs responsibilities (I12)—are not addressed.","[0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"The text criticizes individuals in the gay community for expressing support for #BlackLivesMatter while simultaneously exhibiting racial exclusion in dating (“not into black guys sorry” / “it’s just a preference”). This indicates a stance emphasizing anti-discriminatory social norms over individual preference. Relevant dimensions: I4 (Econimic Equality, broadly equality across groups) is implicated because the speaker demands equal treatment of black people in social interactions, aligning with Outcome Equality. I7 (Cultural Value) is relevant as the criticism rejects purely individualistic preferences in favor of collective anti-racist norms, indicating Collectivism. I11 (Justice Orientation) applies because the focus is on fair treatment and distribution in social activities (dating), aligning with Result Justice. I12 (Personal Right) is clearly implicated: the text dismisses “it’s just a preference,” prioritizing social responsibility over individual rights to discriminate. Unrelated dimensions: I1 (Political Regime), I2 (State Structure), I3 (Economic Orientation), I5 (Ethical Pursuit regarding sexual liberation/abortion etc.), I6 (Church-State), I8 (Diplomatic Strategy), I9 (Military Force), I10 (Social Development) as the text does not address these issues.","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
25,"The text is a promotional announcement for a workshop on leveraging digital technology to decarbonize, calling for collaboration between China and Europe. This clearly signals an international, cooperative approach, aligning with Globalism (I8). The method—industry leaders and entrepreneurs convening at a workshop—suggests incremental, institutional change rather than radical upheaval, indicating Reformism (I10). There is no explicit stance on ownership of the means of production (I1), state structure (I2), economic decision-making by state vs market (I3), equality framing (I4), ethical/cultural issues (I5), church-state relations (I6), collectivism vs individualism (I7), military force (I9), justice orientation (I11), or emphasis on rights vs responsibilities (I12), so these are unrelated.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
26,"The text is a pragmatic comment about the difficulty of technical (likely market) analysis due to uncertainty from the Russia–Ukraine situation. It does not express normative views or preferences about political regime (I1), state structure (I2), economic orientation (I3), economic equality (I4), ethical issues (I5), church–state relations (I6), cultural values (I7), diplomatic strategy (I8), use of military force (I9), pace of social change (I10), justice orientation (I11), or personal rights vs responsibilities (I12). It merely notes short-term uncertainty without advocating any ideological stance. Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
27,"The text explicitly addresses abortion norms: the speaker self-identifies as pro-choice, aligning with Ethical Liberalism on ethical issues (I5). It also implicitly prioritizes individual autonomy over restrictions, consistent with emphasizing individual rights (I12). The rest of the dimensions (political regime, state structure, economic orientation/equality, church–state relations, cultural value, foreign policy, military force, social change strategy, justice orientation) are not discussed or implied in the passage.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
28,"The text is a market-oriented comment about a renewable energy company's IPO and a buy point, tying expected stock performance to growth and the Inflation Reduction Act's climate initiatives. This implies comfort with private ownership and investment mechanisms (I1: capitalism) and reliance on market signals and investor decisions rather than centralized economic planning (I3: market economy). While it references government policy (IRA), it treats it as a catalyst within a market framework, not advocacy for command planning. No positions are expressed on state structure (I2), economic equality (I4), ethical/social issues (I5), church-state relations (I6), collectivism vs individualism (I7), foreign policy (I8), military force (I9), pace of social change (I10), justice orientation (I11), or personal rights vs social responsibility (I12).","[3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"The text is a casual post about bird art (Short-eared owl), nature, and related hashtags. It contains no statements or implications about political regimes, state structure, economic policy, social ethics, religion-state relations, cultural values, foreign policy, military force, social change strategies, justice, or personal rights. Therefore, it is unrelated to all listed ideological dimensions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"The text criticizes perceived lax enforcement of immigration laws and opposes an 'all are welcome' stance, linking it to domestic unemployment and housing strain. This implies support for stricter border controls and less openness to cross-border movement, aligning with Isolationism in Diplomatic Strategy (I8: Right). It also foregrounds enforcement of law and procedural compliance ('laws will not be enforced'), reflecting a Procedural Justice orientation (I11: Right). The text does not address ownership of production (I1), state structure (I2), economic planning (I3), equality models (I4), cultural/ethical issues like sexuality or abortion (I5), church–state relations (I6), collectivism vs individualism in cultural value (I7), use of military force (I9), pace of social change (I10), or the balance of personal rights vs responsibilities (I12), so those are unrelated.","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
31,"The text is a rallying message centered on protecting women's and girls' rights and fairness in women's sports, with hashtags like #SaveWomensSports and #SexNotGender indicating opposition to gender identity overriding biological sex in athletic categories. This reflects Ethical Conservatism (I5) by advocating restrictions on participation based on traditional moral/normative boundaries (sex-based categories). It also engages Justice Orientation (I11) by emphasizing fairness of outcomes for females through sex-based segregation, aligning with Result Justice. The focus on 'rights of women and girls' indicates a prioritization of rights over duties, engaging Personal Right (I12) toward Individual Right. Other dimensions (political regime, state structure, economy, church-state relations, cultural value, diplomacy, militarism, social development) are not addressed in the text.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
32,"The post praises ongoing oil production in California and mocks climate activism (“Climate Karen”), signaling skepticism toward regulatory, climate-driven limits on fossil fuels. This suggests a preference for market-led economic activity over government-directed constraints (I3: Market Economy). The dismissive tone toward collective environmental concerns and emphasis on personal enjoyment (“I like to cruise”) indicate a tilt toward Individualism (I7) and prioritizing individual rights over collective social-responsibility frameworks (I12). The hashtag “#buylocal” reflects local consumer preference but does not speak to foreign policy (I8) or broader economic-structure questions (I1). Other dimensions (I1, I2, I4–I6, I8–I11) are not addressed explicitly in the text.","[0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
33,"The text focuses on U.S. immigration bureaucracy (USCIS) delays harming immigrant children and wasting visa numbers, calling for reduced processing time. This is primarily about fairness and administrative reform, not about political regime, state structure, economic system, church-state relations, cultural values, foreign policy, military, or personal rights. Related dimensions: I4 (Economic Equality) is implicated because the concern is unequal impact and the remedy is removing procedural barriers to ensure equal access—aligned with Opportunity Equality (Right). I11 (Justice Orientation) is implicated as the emphasis is on unfair outcomes for a specific group and efficient allocation (avoiding wasted visas), aligning with Result Justice (Left). I10 (Social Development) is implicated as the demand is for policy/administrative improvements rather than radical upheaval, aligning with Reformism (Right). Other dimensions are unrelated to the content of the text.","[0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
34,"The text centers on positions regarding abortion: it notes Tim Kaine as anti-abortion (aligned with Ethical Conservatism) and Hillary Clinton as strongly pro-choice (aligned with Ethical Liberalism), with her Methodist upbringing contributing to ambivalence. This directly relates to I5 (Ethical Pursuit) but presents both sides without endorsing one, so it is best characterized as Center (2). The mention of religious upbringing affects personal ethics rather than advocating any institutional church–state arrangement, so I6 (Church-State Relations) is unrelated. The emphasis on pro-choice pertains to individual rights, while anti-abortion reflects restriction/responsibility, making I12 (Personal Right) related but mixed; thus Center (2). No content addresses political regime, state structure, economic orientation or equality, cultural values, diplomacy, military force, social change strategy, or justice processes, so those are unrelated.","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
35,"The text references the Inflation Reduction Act as a federal bill and quotes the president praising it as a major step on climate, indicating support for addressing climate change through national-level legislation. This aligns with Centralism in State Structure (I2), as it favors central authority action. The change is pursued through formal legislative processes rather than radical or extra-institutional means, which corresponds to Reformism in Social Development (I10). Other dimensions (I1, I3, I4, I5, I6, I7, I8, I9, I11, I12) are not explicitly addressed: there is no stance on public vs private ownership, command vs market economy, distributive vs opportunity equality, cultural/ethical issues, church-state relations, collectivism vs individualism, foreign policy orientation, militarism/pacifism, justice orientation, or personal rights vs social responsibility.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
36,"The text is a partisan, tactical comment about cross-over voting in a primary and insults specific political figures. The only clear ideological stance expressed is favorable reference to a 'pro-choice' Republican, which aligns with Ethical Liberalism on abortion rights (I5). There is no substantive content about ownership of production (I1), state structure (I2), economic system (I3), equality models (I4), church–state relations (I6), collectivism vs individualism (I7), foreign policy (I8), use of military force (I9), pace of social change (I10), justice orientation (I11), or broader emphasis on personal rights vs social responsibility beyond the abortion cue (I12).","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
37,"The text references the Me Too movement and feminism and frames opposing claims (that they are misandrist) as a coordinated attempt to persuade, implying a defense of these movements. This suggests a progressive/ethical-liberal stance on gender and social issues. No content relates to economic systems, state structure, market vs command economy, equality frameworks, church-state relations, collectivism vs individualism, foreign policy, military force, pace of social change, justice orientation, or emphasis on personal rights vs responsibilities.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
38,"The text is a personal statement about experiencing hunger and includes hashtags associated with social justice activism (#DontShoot305, #BlackLivesMatter). However, it does not express explicit policy preferences or normative positions along the specified ideological dimensions (e.g., ownership of production, state structure, economic systems, equality principles, ethical norms, church-state relations, cultural values, foreign policy, military doctrine, methods of social change, justice orientation, or rights emphasis). While the hashtags signal affiliation with a movement, they do not articulate stances on these axes. Therefore, all dimensions are marked as unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
39,"The text criticizes Extinction Rebellion and emphasizes protecting women's rights, as seen in hashtags like #WomensRightsAreHumanRights and #RespectMySex. This indicates a focus on asserting and protecting individual rights (I12). It does not express positions on political regime (I1), state structure (I2), economic orientation (I3), economic equality (I4), ethical issues as defined (I5: sexual liberation, same-sex marriage, abortion), church-state relations (I6), cultural individualism/collectivism in a general sense (I7), foreign policy (I8), military force (I9), strategy of social change (I10), or justice framework (I11). Therefore, only I12 is related and leans toward emphasis on individual rights; the rest are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
40,"The text is primarily a social media follow request. The only explicit ideological cue is the self-description as ""pro-choice,"" which directly signals support for abortion rights and aligns with Ethical Liberalism in the Ethical Pursuit dimension (I5: Left). The mention of being a US Navy disabled veteran is biographical and does not express a stance on militarism/pacifism or other dimensions. No content addresses ownership of production (I1), state structure (I2), economic decision-making (I3), equality framing (I4), church–state relations (I6), cultural collectivism/individualism (I7), foreign policy (I8), militarism/pacifism (I9), revolution vs. reform (I10), justice orientation (I11), or emphasis on personal rights vs. social responsibility (I12). Thus, only I5 is related; all other dimensions are unrelated.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
41,"The text focuses on protecting abortion and reproductive rights, aligning with Ethical Liberalism (I5 Left) by supporting abortion access and opposing conservative restrictions. It also centers on safeguarding individual rights (“a woman’s right,” “reproductive rights”), indicating an emphasis on Individual Right (I12 Right). There is no content about economic systems (I1, I3, I4), state structure (I2), church-state relations (I6), broader cultural value orientation beyond this specific right (I7), foreign policy (I8), military force (I9), pace of social change (I10), or justice procedures vs outcomes (I11), so these are unrelated.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
42,"The text praises a federal law (Inflation Reduction Act) allocating public funds to USPS to purchase electric vehicles, framed positively for climate action. This indicates support for government-led policy interventions but does not generalize to full public ownership (I1 unrelated) or a fully planned economy. It also emphasizes collective environmental goals (#ActOnClimate, #NoPlanetB), suggesting a collectivist value orientation. The change is achieved through legislation (a standard reform pathway), not through direct or radical action. No clear content relates to federal vs central state structure, equality concepts, ethical liberalism/conservatism issues, church-state relations, foreign policy orientation, militarism, justice procedures/results, or individual rights vs responsibilities.","[0, 0, 2, 0, 0, 0, 1, 0, 0, 3, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
