index,reason,prediction,label
10,"The text discusses historical restrictions on women's rights, specifically regarding abortion and contraception (I5: Ethical Pursuit) and financial autonomy (I12: Personal Right). The mention of abortion and contraception restrictions aligns with Ethical Conservatism (right), but the context implies criticism of such restrictions, indirectly supporting Ethical Liberalism (left). The inability to open a bank account highlights a lack of Individual Rights (right), emphasizing the need for greater protection of personal rights. Other dimensions (I1, I2, I3, I4, I6, I7, I8, I9, I10, I11) are unrelated as the text does not address political regimes, economic systems, state structure, or other listed topics.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3]"
11,"The text emphasizes prioritizing American citizens for vaccine distribution, which relates to Cultural Value (I7) as it reflects collectivism by subordinating individual access to the national collective. The focus on restricting vaccines to Americans and mentions of border security and immigration tags relate to Diplomatic Strategy (I8), indicating isolationism by avoiding international entanglements. Personal Right (I12) is also relevant as the stance prioritizes social responsibility towards Americans over individual rights of non-citizens. Other dimensions like Political Regime, Economic Orientation, and Ethical Pursuit are unrelated as the text does not discuss those aspects.","[0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0]"
12,"The text discusses protests related to abortion (pro-choice) and their perceived ineffectiveness. This relates to I5 (Ethical Pursuit) as it touches on abortion, a key issue in ethical liberalism vs. conservatism. The criticism of protests as ineffective ('as useful as invisible cuffs') suggests skepticism toward direct action, aligning with Reformism (I10, Right). Other dimensions (e.g., Political Regime, Economic Orientation) are unrelated as the text directly addresses social activism and ethical stances.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 2]"
13,"The text expresses dissatisfaction with the current President and implicitly advocates for a change in leadership, which relates to **I10 (Social Development)**. The call for a 'new President' suggests a desire for direct action to address perceived failures, aligning with *Revolutionism* (Left). Other dimensions (I1–I9, I11–I12) are unrelated, as the text does not discuss political regimes, state structures, economic policies, ethical values, church-state relations, cultural collectivism/individualism, diplomacy, military strategy, justice, or personal rights.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
14,"The text discusses a humanitarian truce mediated by the UN, indicating support for international cooperation (I8: Globalism, Left/1). The cessation of military operations aligns with Pacifism (I9: Right/3). Other dimensions (I1-I7, I10-I12) are unrelated as the text focuses on diplomacy and military de-escalation without addressing economic systems, cultural values, or other ideological aspects.","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
15,"The text criticizes liberals for supporting individual choice (pro-choice) in abortion (I5: Ethical Liberalism) but opposing it in vaccine mandates, highlighting a perceived inconsistency. This primarily relates to I12 (Personal Right), where the text advocates for individual rights over social responsibility in the context of vaccines. Other dimensions like I5 are referenced but not directly opposed, focusing on the contradiction rather than taking a stance on the ethical issues themselves.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
16,"The text discusses abortion, particularly opposing late-term abortion and criticizing Democrats, which relates to Ethical Pursuit (I5). The stance against 'abortion cultists' and support for banning late-term abortion aligns with Ethical Conservatism (Right). Other dimensions like Political Regime (I1), State Structure (I2), etc., are unrelated as the text does not address them.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
17,"The text discusses the anti-abortion movement and advocates for continuous struggle and community building to sustain efforts. This relates to:
- I5 (Ethical Pursuit): Opposition to abortion aligns with Ethical Conservatism (Right).
- I7 (Cultural Value): Emphasizing community and collective action reflects Collectivism (Left).
- I10 (Social Development): Advocating persistent, direct action ('contest every level all the time') aligns with Revolutionism (Left).
- I12 (Personal Right): Focus on social responsibility over individual rights (anti-abortion stance) supports Social Responsibility (Left).
Other dimensions (I1, I2, I3, I4, I6, I8, I9, I11) are unrelated as the text does not address political regime, economic policies, church-state relations, diplomacy, military, or justice frameworks.","[0, 0, 0, 0, 3, 0, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
18,"The text discusses the government's engagement with self-identification (self-id) policies in relation to women's rights, which primarily relates to **I5 (Ethical Pursuit)**. The argument implies support for ethical liberalism (acceptance of self-id as non-threatening), aligning with the left stance (1). It also touches on **I12 (Personal Right)** by emphasizing the protection of individual rights (self-id) over social restrictions, aligning with the right stance (3). Other dimensions (e.g., political regime, economic orientation) are unrelated. The mention of government action does not directly address centralism vs. federalism (I2) or other structural/economic dimensions.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]"
19,"The text discusses the Minsk peace deal as a diplomatic effort involving multiple nations (Russia, Ukraine, the West), highlighting an international approach to conflict resolution. This relates to **I8 (Diplomatic Strategy)** under *Globalism*, as it emphasizes international cooperation. The text does not express a stance on other dimensions like economic systems, state structure, or cultural values, making them unrelated.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
20,"The text advocates for increasing access to care for immigrant children through government programs (SNAP, WIC) and addressing systemic barriers like #publiccharge, which relates to economic equality (I4: Left, as it emphasizes outcome equality through resource distribution) and social responsibility (I12: Left). It also implies support for government intervention in economic decisions (I3: Left, command economy) and collectivist approaches (I7: Left). The focus on local advocacy and policy reform aligns with reformism (I10: Right, gradual change). Other aspects like justice orientation (I11: Left, result justice) are relevant. Dimensions I1, I2, I5, I6, I8, I9 are unrelated.","[0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"The text discusses support for a woman's right to choose, which relates to **I5 (Ethical Pursuit)**. The stance aligns with *Ethical Liberalism* (Left), as it advocates for individual autonomy on issues like abortion. Additionally, the emphasis on defending this right connects to **I12 (Personal Right)**, specifically *Individual Right* (Right), as it prioritizes protecting personal freedoms over social responsibilities. Other dimensions (I1, I2, I3, I4, I6, I7, I8, I9, I10, I11) are unrelated to the text's focus.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
22,"The text reports an oil price hike, which relates to economic decisions influenced by market factors (I3: Market Economy). It does not discuss other dimensions such as political regime, state structure, equality, ethics, religion, cultural values, diplomacy, military, social development, justice, or personal rights. The price adjustment reflects market dynamics rather than government control, indicating a Market Economy stance (Right).","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"The text discusses the Inflation Reduction Act (IRA) allocating funds for environmental data collection to guide federal spending on environmental issues. This relates to I3 (Economic Orientation) as it involves government-led economic decisions (Command Economy, Left). It also touches on I2 (State Structure) by emphasizing federal-level action (Centralism, Left). I10 (Social Development) is related as the act represents a structured, legislative approach to environmental policy, aligning with Reformism (Right). Other dimensions are unrelated as the text does not address political regime, equality, ethics, religion, cultural values, diplomacy, military, justice, or personal rights.","[0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"The text criticizes the hypocrisy of individuals who support social movements like #BlackLivesMatter but exhibit racial preferences in personal choices. This relates to:
- **I7 (Cultural Value - Collectivism)**: The critique implies that individuals should align personal behavior with collective social justice values, emphasizing collective responsibility over individual preferences.
- **I11 (Justice Orientation - Result Justice)**: The text highlights the expectation of consistent fair treatment across all social activities, condemning the discrepancy between public advocacy and private behavior.
- **I12 (Personal Right - Social Responsibility)**: The focus is on fulfilling social responsibilities (e.g., anti-racism) rather than prioritizing individual rights (e.g., dating preferences).
Other dimensions (I1-I6, I8-I10) are unrelated to the text's focus on cultural alignment, justice consistency, and social responsibility.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
25,"The text discusses collaboration between industry leaders and entrepreneurs from China and Europe to build a greener future through digital technology, emphasizing international cooperation (I8: Globalism). It does not directly address other dimensions such as political regime, state structure, economic equality, ethical issues, or military strategies, making them unrelated.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
26,"The text discusses the impact of the Russia-Ukraine geopolitical situation on technical analysis, implying that international conflict disrupts conventional frameworks. This relates to **I8 (Diplomatic Strategy)**. However, the text does not explicitly advocate for globalism or isolationism but acknowledges the influence of international entanglements, leading to a neutral stance (Center). Other dimensions (I1-I7, I9-I12) are unrelated as the text does not address political regimes, economic systems, cultural values, or other specified ideological aspects.","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
27,"The text discusses the pro-choice vs. pro-life debate, directly related to **I5 (Ethical Pursuit)**. The user identifies as pro-choice (left-aligned stance on Ethical Liberalism) but critiques the left's dismissal of pro-life arguments. This reflects a nuanced alignment with the left on I5. Other dimensions (e.g., Political Regime, Economic Orientation) are unrelated to the text's focus on abortion ethics.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
28,"The text discusses the Inflation Reduction Act signed by Biden, which includes climate change initiatives, indicating government-led economic decisions (I3: Command Economy - Left). The focus on collective action through government policy supports collectivism (I7: Collectivism - Left). The act represents a legislative approach to social change, aligning with reformism (I10: Reformism - Right). The emphasis on government responsibility for climate initiatives relates to social responsibility over individual rights (I12: Social Responsibility - Left). Other dimensions (I1, I2, I4-I6, I8-I9, I11) are unrelated as the text does not address political regime, state structure, equality, ethics, religion, diplomacy, military, or procedural justice.","[0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"The input text is a description of an artwork featuring a Short-eared owl, accompanied by hashtags related to nature, art, and birding. It does not express any ideological stance related to political, economic, ethical, cultural, diplomatic, military, or social dimensions listed in the detection framework. The content is purely artistic and focused on natural history, with no explicit or implicit references to the ideological dimensions provided.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"The text criticizes the current administration's immigration policies, suggesting that lax enforcement exacerbates domestic issues like unemployment and housing shortages. This relates to I8 (Diplomatic Strategy) as it implies a preference against globalist policies, leaning towards isolationism (Right). It also touches on I12 (Personal Right) by emphasizing social responsibility over individual rights of immigrants (Left). Other dimensions are unrelated as the text does not address political regime, economic systems, ethical issues, etc.","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
31,"The text advocates for protecting women's sports based on biological sex, which relates to Ethical Conservatism (I5) as it opposes gender identity inclusion. It emphasizes collective rights of women (I7: Collectivism) and focuses on individual rights (I12: Individual Right) by demanding fairness for females. Other dimensions are unrelated as the text does not address political regime, economy, or other listed aspects.","[0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
32,"The text emphasizes oil production in California, suggesting support for private ownership of resources (Capitalism, I1:3). It dismisses climate activism ('Climate Karen’s Amazon'), indicating a preference for market-driven economic decisions over government intervention (Market Economy, I3:3). The mention of '#buylocal' and focus on local production does not directly align with the provided dimensions. The opposition to climate action implies resistance to rapid social change, aligning with Reformism (I10:3). Other dimensions (I2, I4, I5, I6, I7, I8, I9, I11, I12) are unrelated or not addressed.","[3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
33,"The text discusses immigration process delays impacting immigrant children and visa wastage, highlighting inefficiencies in the system. Related dimensions include I4 (Economic Equality) as it addresses unequal access to resources (visas), leaning towards Opportunity Equality (Right). I8 (Diplomatic Strategy) is related through the mention of global progress vs. U.S. backwardness, suggesting a Globalism stance (Left). I11 (Justice Orientation) is relevant due to the focus on procedural fairness in visa processing (Procedural Justice, Right). I12 (Personal Right) is tied to advocating for individual rights to timely processing (Individual Right, Right). Other dimensions (I1, I2, I3, I5, I6, I7, I9, I10) are unrelated as the text does not address political regimes, economic systems, ethics, cultural values, military, or social development strategies.","[0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
34,"The text discusses Hillary Clinton's stance on abortion, which relates to I5 (Ethical Pursuit). While she is described as 'strongly pro-choice' (left-leaning Ethical Liberalism), her Methodist upbringing introduces ambivalence. However, the primary stance remains pro-choice, aligning with the left. Other dimensions (I1, I2, I3, I4, I6-I12) are unrelated as the text focuses solely on abortion ethics.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
35,"The text discusses the Inflation Reduction Act's impact on climate change, highlighting government-led initiatives (I3: Command Economy - Left). The mention of it being the 'biggest step forward on climate ever' suggests significant legislative action, aligning with Reformism (I10: Right) as it implies gradual systemic change rather than revolutionary measures. Other dimensions (I1, I2, I4-I9, I11-I12) are unrelated to the text's focus.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
36,"The text discusses political strategy involving Democrats supporting a pro-choice Republican candidate, which relates to Ethical Pursuit (I5). The mention of 'pro-choice' aligns with Ethical Liberalism (Left). Other dimensions like Political Regime, State Structure, Economic Orientation, etc., are unrelated as the text focuses on electoral tactics and social issues without addressing those specific areas.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
37,"The text discusses criticism of the 'Me Too' movement and feminism as misandrist, which relates to Ethical Pursuit (I5). The defense of these movements aligns with Ethical Liberalism (Left), as they support gender equality and challenge traditional norms. The mention of countering claims of misandry also touches on Personal Right (I12), emphasizing the protection of individual rights (Right) against perceived attacks. Other dimensions are unrelated as the text focuses on gender issues and social movements rather than political regimes, economic policies, or other structural factors.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
38,"The text highlights personal hardship (hunger) and aligns with social justice movements (#BlackLivesMatter, #DontShoot305), emphasizing systemic inequality and the need for societal responsibility. Related dimensions: I4 (Economic Equality - Left, advocating outcome equality due to systemic neglect), I7 (Cultural Value - Left, collectivism through collective action for marginalized groups), I11 (Justice Orientation - Left, focus on fair treatment and distribution), I12 (Personal Right - Left, prioritizing social responsibility to address individual suffering). Other dimensions (I1, I2, I3, I5, I6, I8, I9, I10) are unrelated as the text directly addresses economic disparity, collective advocacy, and justice outcomes without touching on political regimes, state structures, ethical debates, religion, diplomacy, military, or revolutionary tactics.","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
39,"The text criticizes Extinction Rebellion for shifting focus to issues perceived as harassing women, with hashtags emphasizing women's rights and respect for biological sex. This relates to I5 (Ethical Pursuit) as it opposes progressive gender policies, aligning with Ethical Conservatism (Right). The emphasis on individual sex-based rights over collective gender identity aligns with Individualism (I7: Right). Advocacy for protecting women's rights as individual rights relates to I12 (Individual Right: Right). Other dimensions (I1-I4, I6, I8-I11) are unrelated as the text does not address political regime, economy, church-state relations, diplomacy, military, social development, or justice procedures.","[0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
40,"The text mentions 'pro-choice', which relates to Ethical Pursuit (I5) under Ethical Liberalism (Left). Other dimensions are unrelated as the text focuses on gaining followers and does not discuss political regime, economy, state structure, etc.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
41,"The text emphasizes a woman's right to abortion, which relates to I5 (Ethical Pursuit) as it supports ethical liberalism (Left). It also stresses protecting individual rights (abortion access), aligning with I12 (Personal Right) favoring individual rights (Right). Other dimensions (e.g., economic or state structure) are not addressed.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
42,"The text discusses the Inflation Reduction Act providing funds to USPS for electric vehicles, emphasizing climate action (#ActOnClimate, #NoPlanetB). This relates to:
- **I3 (Economic Orientation - Left)**: Government-led economic decisions to promote green technology.
- **I8 (Diplomatic Strategy - Left)**: Climate action aligns with globalist efforts to address international environmental concerns.
Other dimensions (e.g., Political Regime, Military Force) are unrelated to the text's focus on environmental policy and government funding.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
43,"The text questions the concept of gender identity and self-identification, particularly regarding transgender individuals. This relates to **I5 (Ethical Pursuit)**, as it reflects skepticism toward ethical liberalism (acceptance of diverse gender identities) and aligns more with ethical conservatism, which emphasizes traditional moral norms. Other dimensions (e.g., political regime, economic orientation) are unrelated to the text's focus on gender identity and societal norms.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
44,"The text criticizes Biden and supports Bernie Sanders, indicating a left-leaning stance. Key dimensions: I1 (Socialism) due to opposition to corporate favoritism (#45PrefersCorporationsNotHumans). I3 (Command Economy) as Bernie's policies advocate government intervention. I4 (Outcome Equality) through emphasis on fair distribution. I5 (Ethical Liberalism) aligns with progressive values supported by Bernie. I7 (Collectivism) via #NotMeUs. I10 (Revolutionism) with calls for direct action (#BernieSurge). I11 (Result Justice) and I12 (Social Responsibility) are implied in prioritizing collective good over individual rights. Other dimensions are unrelated.","[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"The text discusses a pro-life event focused on the Dobbs decision and overturning Roe v. Wade, emphasizing efforts to 'save more lives.' This directly relates to **I5 (Ethical Pursuit)**, advocating for ethical conservatism by opposing abortion. Other dimensions (e.g., political regime, economic orientation) are unrelated as the text does not address them.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
46,"The text relates to I5 (Ethical Pursuit) and I12 (Personal Right). The mention of the mother being an evangelical but supporting a woman's right to choose reflects Ethical Liberalism (Left, I5=1). Her advocacy for individual choice over restrictive norms aligns with Individual Right (Right, I12=3). Other dimensions (I1, I2, I3, I4, I6, I7, I8, I9, I10, I11) are unrelated as the text does not address political regimes, economic policies, church-state relations, or other listed topics.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
47,"The text highlights the underrepresentation of Black women in civil rights movements, critiquing systemic exclusion. This relates to **I4 (Economic Equality)** by emphasizing the lack of *outcome equality* for Black women despite their contributions. It also touches on **I11 (Justice Orientation)** by challenging the fairness of historical narratives (result justice vs. procedural justice). Other dimensions (e.g., political regime, military force) are unrelated to the text's focus on equity and recognition within social movements.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
48,"The text emphasizes the right of individuals to carry firearms for self-defense (I7: Individualism) and the use of armed force to stop a criminal (I9: Militarism). It opposes disarming citizens, highlighting a focus on individual rights over collective responsibility (I12: Individual Right). Other dimensions (I1, I2, I3, I4, I5, I6, I8, I10, I11) are unrelated as the text does not address political regimes, economic systems, ethical issues, church-state relations, diplomacy, social change methods, or justice types.","[0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
49,"The text discusses economic support for different groups, highlighting a contrast between reparations for George Floyd's family and financial aid to Somali refugees. This relates to I4 (Economic Equality) as it questions outcome equality for refugees versus Floyd's family, leaning towards opportunity equality (Right). I7 (Cultural Value) is addressed by emphasizing individualism over collective support for refugees (Right). I8 (Diplomatic Strategy) is involved through opposition to international aid, aligning with isolationism (Right). I12 (Personal Right) is relevant as the argument stresses individual rights over social responsibility (Right). Other dimensions are unrelated as they don't address political regime, state structure, ethical issues, etc.","[0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
50,"The text criticizes the British monarchy as outdated and anti-democratic, reflecting stances on specific dimensions. The mention of 'sectarian' relates to I6 (Church-State Relations), advocating secularism (Left). The rejection of monarchy as a collective symbol aligns with I7 (Cultural Value), favoring individualism (Right). The call to abolish the monarchy implies revolutionary change (I10: Revolutionism, Left). The hashtag #NotMyKing emphasizes individual rights over tradition (I12: Individual Right, Right). Ethical opposition to sectarianism suggests support for ethical liberalism (I5: Left). Other dimensions (I1, I2, I3, I4, I8, I9, I11) are unrelated references.","[0, 0, 0, 0, 1, 1, 3, 0, 0, 1, 0, 3]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
